GAME_ID,HOME_TEAM_ID,HOME_TEAM_NAME,HOME_WIN,SEASON,HOME_ROLL10_PTS,HOME_ROLL10_FGA,HOME_ROLL10_FG_PCT,HOME_ROLL10_FG3_PCT,HOME_ROLL10_FT_PCT,HOME_ROLL10_REB,HOME_ROLL10_AST,HOME_ROLL10_TOV,HOME_ROLL10_STL,HOME_ROLL10_BLK,AWAY_TEAM_ID,AWAY_TEAM_NAME,AWAY_WIN,AWAY_ROLL10_PTS,AWAY_ROLL10_FGA,AWAY_ROLL10_FG_PCT,AWAY_ROLL10_FG3_PCT,AWAY_ROLL10_FT_PCT,AWAY_ROLL10_REB,AWAY_ROLL10_AST,AWAY_ROLL10_TOV,AWAY_ROLL10_STL,AWAY_ROLL10_BLK,DIFF_ROLL10_PTS,DIFF_ROLL10_FGA,DIFF_ROLL10_FG_PCT,DIFF_ROLL10_FG3_PCT,DIFF_ROLL10_FT_PCT,DIFF_ROLL10_REB,DIFF_ROLL10_AST,DIFF_ROLL10_TOV,DIFF_ROLL10_STL,DIFF_ROLL10_BLK
0022100725,1610612737,Atlanta Hawks,1,2021-22,111.4,82.9,0.4688,0.35919999999999996,0.7948,40.9,24.7,12.6,6.5,4.5,1610612758,Sacramento Kings,0,110.5,91.0,0.45309999999999995,0.3544,0.7386999999999999,44.6,22.9,11.3,7.7,4.6,0.9000000000000057,-8.099999999999994,0.015700000000000047,0.004799999999999971,0.05610000000000004,-3.700000000000003,1.8000000000000007,1.299999999999999,-1.2000000000000002,-0.09999999999999964
0022100737,1610612737,Atlanta Hawks,1,2021-22,112.7,83.3,0.47680000000000006,0.3658,0.798,40.9,25.6,12.4,6.6,4.2,1610612738,Boston Celtics,0,108.7,85.5,0.4646,0.372,0.8422000000000001,48.0,24.5,13.5,6.6,5.2,4.0,-2.200000000000003,0.012200000000000044,-0.006199999999999983,-0.04420000000000002,-7.100000000000001,1.1000000000000014,-1.0999999999999996,0.0,-1.0
0022100751,1610612737,Atlanta Hawks,1,2021-22,111.7,82.6,0.4781000000000001,0.36839999999999995,0.7975999999999999,39.8,24.6,12.0,7.3,5.3,1610612747,Los Angeles Lakers,0,106.6,88.5,0.4467,0.33240000000000003,0.7868999999999999,41.4,21.4,12.0,7.2,5.1,5.1000000000000085,-5.900000000000006,0.031400000000000095,0.03599999999999992,0.010699999999999932,-1.6000000000000014,3.200000000000003,0.0,0.09999999999999964,0.20000000000000018
0022100767,1610612737,Atlanta Hawks,0,2021-22,115.3,83.2,0.4915000000000001,0.3738,0.779,40.4,25.8,11.9,7.4,5.1,1610612761,Toronto Raptors,1,105.0,90.4,0.4271,0.3373,0.7070000000000001,44.4,22.2,12.7,9.7,5.4,10.299999999999997,-7.200000000000003,0.06440000000000012,0.03650000000000003,0.07199999999999995,-4.0,3.6000000000000014,-0.7999999999999989,-2.299999999999999,-0.3000000000000007
0022100783,1610612737,Atlanta Hawks,1,2021-22,116.2,83.1,0.49940000000000007,0.38239999999999996,0.7969,41.3,26.6,12.0,7.2,5.3,1610612756,Phoenix Suns,0,118.0,89.0,0.5023,0.3545,0.7586,46.5,27.7,10.7,7.9,5.0,-1.7999999999999972,-5.900000000000006,-0.0028999999999999027,0.02789999999999998,0.0383,-5.200000000000003,-1.0999999999999979,1.3000000000000007,-0.7000000000000002,0.2999999999999998
0022100816,1610612737,Atlanta Hawks,1,2021-22,114.7,85.8,0.49460000000000004,0.3632,0.8028000000000001,43.3,26.5,11.9,7.9,4.3,1610612754,Indiana Pacers,0,112.1,91.5,0.45020000000000004,0.371,0.7516,46.1,24.9,14.5,5.7,4.2,2.6000000000000085,-5.700000000000003,0.044399999999999995,-0.007799999999999974,0.05120000000000002,-2.8000000000000043,1.6000000000000014,-2.5999999999999996,2.2,0.09999999999999964
0022100841,1610612737,Atlanta Hawks,0,2021-22,114.6,86.2,0.5001,0.3752,0.7899,43.7,26.7,12.2,8.0,4.1,1610612759,San Antonio Spurs,1,113.4,92.5,0.47539999999999993,0.34429999999999994,0.7956,43.4,29.5,11.4,7.1,4.9,1.1999999999999886,-6.299999999999997,0.024700000000000055,0.03090000000000004,-0.005699999999999927,0.30000000000000426,-2.8000000000000007,0.7999999999999989,0.9000000000000004,-0.8000000000000007
0022100867,1610612737,Atlanta Hawks,1,2021-22,113.9,90.2,0.4809,0.35850000000000004,0.8183,45.3,26.2,12.3,8.1,4.2,1610612739,Cleveland Cavaliers,0,103.0,82.8,0.4588,0.3699,0.7406,43.6,24.0,13.1,7.5,4.0,10.900000000000006,7.400000000000006,0.02210000000000001,-0.011399999999999966,0.07769999999999999,1.6999999999999957,2.1999999999999993,-0.7999999999999989,0.5999999999999996,0.20000000000000018
0022100906,1610612737,Atlanta Hawks,1,2021-22,114.3,90.6,0.46929999999999994,0.37970000000000004,0.8404,44.4,25.1,12.3,7.3,4.2,1610612761,Toronto Raptors,0,112.9,89.9,0.4708,0.3835,0.7722,44.2,21.6,12.8,8.7,3.8,1.3999999999999915,0.6999999999999886,-0.0015000000000000568,-0.00379999999999997,0.06820000000000004,0.19999999999999574,3.5,-0.5,-1.3999999999999995,0.40000000000000036
0022100710,1610612737,Atlanta Hawks,1,2021-22,114.4,90.7,0.47240000000000004,0.3567,0.8412000000000001,43.9,24.0,11.4,7.7,4.8,1610612741,Chicago Bulls,0,115.9,87.2,0.5019,0.3689,0.8123000000000001,44.0,22.4,11.2,6.0,3.7,-1.5,3.5,-0.02949999999999997,-0.012199999999999989,0.028899999999999926,-0.10000000000000142,1.6000000000000014,0.20000000000000107,1.7000000000000002,1.0999999999999996
